TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Imola,Erzkoy,00:01:26.0350000,Red Bull,False,
Imola,piotrek_player,00:01:26.4130000,McLaren,False,
Imola,e1pege,00:01:26.5360000,Ferrari,False,
Imola,Gabriel Bortoleto,00:01:27.2240000,Kick Sauber,False,
Imola,Andrea Kimi Antonelli,00:01:27.2660000,Mercedes-AMG Petronas,False,
Imola,Fernando Alonso,00:01:27.3920000,Aston Martin,False,
Imola,,00:01:27.5160000,World Car,False,
Imola,marselantuan,00:01:28.0080000,Red Bull,False,
Imola,Lando Norris,00:01:28.0450000,McLaren,False,
Imola,Lewis Hamilton,00:01:28.2080000,Ferrari,False,
Imola,Liam Lawson,00:01:28.3040000,Red Bull,False,
Imola,Isack Hadjar,00:01:28.5560000,Visa Cash App RB,False,
Imola,BjornBartomeu,00:01:28.6900000,Haas,False,
Imola,Nico Hulkenberg,00:01:29.9680000,Kick Sauber,False,
Imola,Alex Albon,00:01:30.1380000,Williams,False,
Imola,Carlos Sainz,00:01:30.4030000,Williams,False,
Imola,Lance Stroll,00:01:30.6640000,Aston Martin,False,
Imola,Yuki Tsunoda,00:01:30.8430000,Visa Cash App RB,False,
Imola,Pierre Gasly,00:01:31.1770000,Alpine,False,
Imola,Oliver Bearman,00:01:31.6680000,Haas,False,
Imola,F1 Player,00:00:00,Ferrari,False,
Imola,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
Imola,SzPi1946,00:00:00,Aston Martin,False,
