TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Bahrain,Erzkoy,00:01:28.4480000,Red Bull,False,
Bahrain,e1pege,00:01:30.1420000,RB,False,
Bahrain,marselantuan,00:01:30.1670000,Aston Martin,False,
Bahrain,piotrek_player,00:01:31.1900000,McLaren,False,
Bahrain,,00:01:31.9410000,World Car,False,
Bahrain,George Russell,00:01:32.0620000,Mercedes-AMG Petronas,False,
Bahrain,Gabriel Bortoleto,00:01:32.1540000,Kick Sauber,False,
Bahrain,Lando Norris,00:01:32.3770000,McLaren,False,
Bahrain,Lewis Hamilton,00:01:32.4480000,Ferrari,False,
Bahrain,Charles Leclerc,00:01:32.6800000,Ferrari,False,
Bahrain,Oliver Bearman,00:01:32.7230000,Haas,False,
Bahrain,Fernando Alonso,00:01:32.7330000,Aston Martin,False,
Bahrain,Andrea Kimi Antonelli,00:01:32.7640000,Mercedes-AMG Petronas,False,
Bahrain,Nico Hulkenberg,00:01:32.7670000,Kick Sauber,False,
Bahrain,Liam Lawson,00:01:32.8010000,Red Bull,False,
Bahrain,Yuki Tsunoda,00:01:33.0880000,Visa Cash App RB,False,
Bahrain,Carlos Sainz,00:01:33.2400000,Williams,False,
Bahrain,SzPi1946,00:01:33.3380000,Alpine,False,
Bahrain,BjornBartomeu,00:01:33.5460000,Williams,False,
Bahrain,Z1Z_PL,00:01:34.3550000,Haas,False,
Bahrain,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
Bahrain,FenomenalnyKorcz,00:00:00,Ferrari,False,
