TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Abu Dhabi,Erzkoy,00:01:23.4530000,Red Bull,False,
Abu Dhabi,marselantuan,00:01:24.9740000,Aston Martin,False,
Abu Dhabi,piotrek_player,00:01:25.0030000,McLaren,False,
Abu Dhabi,e1pege,00:01:25.0830000,RB,False,
Abu Dhabi,Andrea Kimi Antonelli,00:01:26.6280000,Mercedes-AMG Petronas,False,
Abu Dhabi,SzPi1946,00:01:26.9720000,Alpine,False,
Abu Dhabi,Liam Lawson,00:01:26.9830000,Red Bull,False,
Abu Dhabi,FenomenalnyKorcz,00:01:27.1720000,Ferrari,False,
Abu Dhabi,Carlos Sainz,00:01:27.2860000,Williams,False,
Abu Dhabi,Fernando Alonso,00:01:27.2990000,Aston Martin,False,
Abu Dhabi,,00:01:27.3330000,World Car,False,
Abu Dhabi,Gabriel Bortoleto,00:01:27.3550000,Kick Sauber,False,
Abu Dhabi,Lewis Hamilton,00:01:27.4230000,Ferrari,False,
Abu Dhabi,Nico Hulkenberg,00:01:27.4510000,Kick Sauber,False,
Abu Dhabi,BjornBartomeu,00:01:27.6260000,Williams,False,
Abu Dhabi,George Russell,00:01:27.6820000,Mercedes-AMG Petronas,False,
Abu Dhabi,Esteban Ocon,00:01:27.8030000,Haas,False,
Abu Dhabi,Yuki Tsunoda,00:01:28.1740000,Visa Cash App RB,False,
Abu Dhabi,Lando Norris,00:01:28.2280000,McLaren,False,
Abu Dhabi,Oliver Bearman,00:01:28.9050000,Haas,False,
Abu Dhabi,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
Abu Dhabi,Z1Z_PL,00:00:00,Haas,False,
