TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Belgium,piotrek_player,00:01:56.1430000,McLaren,False,
Belgium,e1pege,00:01:57.6410000,RB,False,
Belgium,marselantuan,00:01:58.0850000,Aston Martin,False,
Belgium,Charles Leclerc,00:01:58.1810000,Ferrari,False,
Belgium,Fernando Alonso,00:01:58.4670000,Aston Martin,False,
Belgium,Esteban Ocon,00:01:58.6750000,Haas,False,
Belgium,Gabriel Bortoleto,00:01:59.1700000,Kick Sauber,False,
Belgium,Nico Hulkenberg,00:01:59.2490000,Kick Sauber,False,
Belgium,Lando Norris,00:01:59.5150000,McLaren,False,
Belgium,BjornBartomeu,00:01:59.6770000,Williams,False,
Belgium,Yuki Tsunoda,00:01:59.7670000,Visa Cash App RB,False,
Belgium,,00:02:00.1140000,World Car,False,
Belgium,Oliver Bearman,00:02:00.6850000,Haas,False,
Belgium,Carlos Sainz,00:02:00.7820000,Williams,False,
Belgium,Liam Lawson,00:02:01.5020000,Red Bull,False,
Belgium,Lewis Hamilton,00:02:01.5260000,Ferrari,False,
Belgium,Pierre Gasly,00:02:01.6170000,Alpine,False,
Belgium,Andrea Kimi Antonelli,00:02:01.6410000,Mercedes-AMG Petronas,False,
Belgium,George Russell,00:02:01.7050000,Mercedes-AMG Petronas,False,
Belgium,Erzkoy,00:00:00,Red Bull,False,
Belgium,SzPi1946,00:00:00,Alpine,False,
Belgium,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
Belgium,FenomenalnyKorcz,00:00:00,Ferrari,False,
Belgium,Z1Z_PL,00:00:00,Haas,False,
