TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Spain,marselantuan,00:01:13.6280000,Aston Martin,False,
Spain,piotrek_player,00:01:13.9400000,McLaren,False,
Spain,e1pege,00:01:14.3380000,RB,False,
Spain,Fernando Alonso,00:01:15.3110000,Aston Martin,False,
Spain,Gabriel Bortoleto,00:01:15.3650000,Kick Sauber,False,
Spain,,00:01:15.4050000,World Car,False,
Spain,Charles Leclerc,00:01:15.7470000,Ferrari,False,
Spain,Nico Hulkenberg,00:01:15.9380000,Kick Sauber,False,
Spain,Liam Lawson,00:01:15.9850000,Red Bull,False,
Spain,Carlos Sainz,00:01:15.9930000,Williams,False,
Spain,Pierre Gasly,00:01:16.0810000,Alpine,False,
Spain,Alex Albon,00:01:16.1980000,Williams,False,
Spain,Andrea Kimi Antonelli,00:01:16.2700000,Mercedes-AMG Petronas,False,
Spain,George Russell,00:01:16.3780000,Mercedes-AMG Petronas,False,
Spain,Lando Norris,00:01:16.3820000,McLaren,False,
Spain,Yuki Tsunoda,00:01:16.4510000,Visa Cash App RB,False,
Spain,Lewis Hamilton,00:01:16.4890000,Ferrari,False,
Spain,Z1Z_PL,00:01:16.6150000,Haas,False,
Spain,Oliver Bearman,00:01:17.5400000,Haas,False,
Spain,Erzkoy,00:01:17.9020000,Red Bull,False,
Spain,BjornBartomeu,00:00:00,Williams,False,
Spain,SzPi1946,00:00:00,Alpine,False,
Spain,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
Spain,FenomenalnyKorcz,00:00:00,Ferrari,False,
