TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Netherlands,Erzkoy,00:01:09.7510000,Red Bull,False,
Netherlands,piotrek_player,00:01:10.6510000,McLaren,False,
Netherlands,e1pege,00:01:11.0820000,RB,False,
Netherlands,SzPi1946,00:01:11.1730000,Alpine,False,
Netherlands,Andrea Kimi Antonelli,00:01:12.1550000,Mercedes-AMG Petronas,False,
Netherlands,Gabriel Bortoleto,00:01:12.2230000,Kick Sauber,False,
Netherlands,Yuki Tsunoda,00:01:12.6830000,Visa Cash App RB,False,
Netherlands,FenomenalnyKorcz,00:01:12.9200000,Ferrari,False,
Netherlands,BjornBartomeu,00:01:12.9890000,Williams,False,
Netherlands,Nico Hulkenberg,00:01:13.2070000,Kick Sauber,False,
Netherlands,George Russell,00:01:13.3010000,Mercedes-AMG Petronas,False,
Netherlands,,00:01:13.4770000,World Car,False,
Netherlands,Liam Lawson,00:01:13.5340000,Red Bull,False,
Netherlands,Carlos Sainz,00:01:13.5420000,Williams,False,
Netherlands,Fernando Alonso,00:01:13.6790000,Aston Martin,False,
Netherlands,Oliver Bearman,00:01:13.7960000,Haas,False,
Netherlands,Z1Z_PL,00:01:13.8580000,Haas,False,
Netherlands,Lando Norris,00:01:13.9920000,McLaren,False,
Netherlands,Lewis Hamilton,00:01:14.2080000,Ferrari,False,
Netherlands,Lance Stroll,00:01:14.5500000,Aston Martin,False,
Netherlands,marselantuan,00:00:00,Aston Martin,False,
Netherlands,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
