TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Bahrain,Erzkoy,00:01:28.9280000,Red Bull,False,
Bahrain,piotrek_player,00:01:29.9290000,McLaren,False,
Bahrain,e1pege,00:01:30.2430000,Ferrari,False,
Bahrain,SzPi1946,00:01:30.5210000,Aston Martin,False,
Bahrain,BjornBartomeu,00:01:31.6960000,Haas,False,
Bahrain,Andrea Kimi Antonelli,00:01:32.2830000,Mercedes-AMG Petronas,False,
Bahrain,Alex Albon,00:01:32.3690000,Williams,False,
Bahrain,Lando Norris,00:01:32.4170000,McLaren,False,
Bahrain,Gabriel Bortoleto,00:01:32.5640000,Kick Sauber,False,
Bahrain,Lewis Hamilton,00:01:32.6340000,Ferrari,False,
Bahrain,Nico Hulkenberg,00:01:32.7790000,Kick Sauber,False,
Bahrain,Yuki Tsunoda,00:01:32.8940000,Visa Cash App RB,False,
Bahrain,,00:01:32.9390000,World Car,False,
Bahrain,Fernando Alonso,00:01:33.2490000,Aston Martin,False,
Bahrain,Carlos Sainz,00:01:33.3260000,Williams,False,
Bahrain,George Russell,00:01:33.3650000,Mercedes-AMG Petronas,False,
Bahrain,Pierre Gasly,00:01:33.3960000,Alpine,False,
Bahrain,Liam Lawson,00:01:34.2930000,Red Bull,False,
Bahrain,Oliver Bearman,00:01:34.6910000,Haas,False,
Bahrain,Isack Hadjar,00:01:34.8900000,Visa Cash App RB,False,
Bahrain,marselantuan,00:00:00,Red Bull,False,
Bahrain,F1 Player,00:00:00,Ferrari,False,
Bahrain,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
