TrackName,Tier,PlayerName,Time,Points,Position,Penalty,FastestLap,HasFastestLap,ConstructorName,PenaltyPointsApplied,IsReserve,IsAi
Monaco,1,Erzkoy,00:39:32.3350000,25,1,0,00:01:17.0180000,True,Red Bull,0,False,False
Monaco,1,Fernando Alonso,00:40:07.0530000,18,2,0,00:01:18.0850000,False,Aston Martin,0,False,True
Monaco,1,,00:40:09.1620000,15,3,0,00:01:17.9910000,False,World Car,0,False,True
Monaco,1,Andrea Kimi Antonelli,00:40:10.3300000,12,4,0,00:01:18.2460000,False,Mercedes-AMG Petronas,0,False,True
Monaco,1,Lewis Hamilton,00:40:13.4650000,10,5,0,00:01:18.2500000,False,Ferrari,0,False,True
Monaco,1,Gabriel Bortoleto,00:40:14.4290000,8,6,0,00:01:18.2030000,False,Kick Sauber,0,False,True
Monaco,1,Carlos Sainz,00:40:19.0520000,6,7,0,00:01:18.7460000,False,Williams,0,False,True
Monaco,1,Yuki Tsunoda,00:40:23.5540000,4,8,0,00:01:18.9480000,False,Visa Cash App RB,0,False,True
Monaco,1,Liam Lawson,00:40:23.9850000,2,9,0,00:01:18.8030000,False,Red Bull,0,False,True
Monaco,1,Nico Hulkenberg,00:40:25.4960000,1,10,0,00:01:18.9680000,False,Kick Sauber,0,False,True
Monaco,1,Oliver Bearman,00:39:47.0280000,0,11,0,00:01:19.4710000,False,Haas,0,False,True
Monaco,1,Pierre Gasly,00:40:26.8340000,0,12,0,00:01:18.7570000,False,Alpine,0,False,True
Monaco,1,Lando Norris,00:40:27.5380000,0,13,0,00:01:18.7620000,False,McLaren,0,False,True
Monaco,1,Alex Albon,00:40:33.2690000,0,14,0,00:01:19.1750000,False,Williams,0,False,True
Monaco,1,Isack Hadjar,00:40:40.1920000,0,15,0,00:01:19.2670000,False,Visa Cash App RB,0,False,True
Monaco,1,e1pege,00:17:32.1540000,0,16,0,00:01:26.0040000,False,Ferrari,0,False,False
Monaco,1,BjornBartomeu,00:22:04.6340000,0,17,0,00:01:30.0180000,False,Haas,0,False,False
Monaco,1,piotrek_player,00:24:40.8160000,0,18,0,00:01:24.9610000,False,McLaren,0,False,False
Monaco,1,SzPi1946,00:00:27.6930000,0,19,0,00:00:00,False,Aston Martin,0,False,False
Monaco,1,marselantuan,00:01:45.0050000,0,20,0,00:00:00,False,Red Bull,0,False,False
Monaco,1,F1 Player,00:00:00,0,21,0,00:00:00,False,Ferrari,0,False,False
Monaco,1,F1 Player,00:00:00,0,22,0,00:00:00,False,Mercedes-AMG Petronas,0,False,False
