TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Texas,Erzkoy,00:01:32.3990000,Red Bull,False,
Texas,marselantuan,00:01:34.6270000,Aston Martin,False,
Texas,piotrek_player,00:01:34.9440000,McLaren,False,
Texas,e1pege,00:01:35.0200000,RB,False,
Texas,Fernando Alonso,00:01:36.7280000,Aston Martin,False,
Texas,Lewis Hamilton,00:01:37.1880000,Ferrari,False,
Texas,Gabriel Bortoleto,00:01:37.2610000,Kick Sauber,False,
Texas,Carlos Sainz,00:01:37.3920000,Williams,False,
Texas,,00:01:37.4010000,World Car,False,
Texas,Lando Norris,00:01:37.4180000,McLaren,False,
Texas,SzPi1946,00:01:37.5240000,Alpine,False,
Texas,Yuki Tsunoda,00:01:37.5430000,Visa Cash App RB,False,
Texas,George Russell,00:01:37.5490000,Mercedes-AMG Petronas,False,
Texas,Andrea Kimi Antonelli,00:01:37.6860000,Mercedes-AMG Petronas,False,
Texas,Nico Hulkenberg,00:01:37.9710000,Kick Sauber,False,
Texas,Liam Lawson,00:01:37.9840000,Red Bull,False,
Texas,FenomenalnyKorcz,00:01:38.1170000,Ferrari,False,
Texas,Oliver Bearman,00:01:38.4370000,Haas,False,
Texas,BjornBartomeu,00:01:38.5600000,Williams,False,
Texas,Z1Z_PL,00:01:41.3400000,Haas,False,
Texas,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
