TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Brazil,Erzkoy,00:01:08.2810000,Red Bull,False,
Brazil,marselantuan,00:01:09.6850000,Aston Martin,False,
Brazil,e1pege,00:01:09.8580000,RB,False,
Brazil,piotrek_player,00:01:10.0670000,McLaren,False,
Brazil,Gabriel Bortoleto,00:01:11.0610000,Kick Sauber,False,
Brazil,Andrea Kimi Antonelli,00:01:11.2090000,Mercedes-AMG Petronas,False,
Brazil,Fernando Alonso,00:01:11.2220000,Aston Martin,False,
Brazil,,00:01:11.2750000,World Car,False,
Brazil,Alex Albon,00:01:11.3560000,Williams,False,
Brazil,Nico Hulkenberg,00:01:11.3830000,Kick Sauber,False,
Brazil,Lando Norris,00:01:11.4230000,McLaren,False,
Brazil,SzPi1946,00:01:11.4380000,Alpine,False,
Brazil,Liam Lawson,00:01:11.5940000,Red Bull,False,
Brazil,Lewis Hamilton,00:01:11.7950000,Ferrari,False,
Brazil,George Russell,00:01:11.8600000,Mercedes-AMG Petronas,False,
Brazil,Carlos Sainz,00:01:12.2530000,Williams,False,
Brazil,Yuki Tsunoda,00:01:12.3790000,Visa Cash App RB,False,
Brazil,Z1Z_PL,00:01:12.4880000,Haas,False,
Brazil,Oliver Bearman,00:01:12.5520000,Haas,False,
Brazil,FenomenalnyKorcz,00:00:00,Ferrari,False,
Brazil,BjornBartomeu,00:00:00,Williams,False,
Brazil,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
