TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Monza,Erzkoy,00:01:19.0040000,Red Bull,False,
Monza,marselantuan,00:01:20.1870000,Aston Martin,False,
Monza,e1pege,00:01:20.2090000,RB,False,
Monza,FenomenalnyKorcz,00:01:21.2010000,Ferrari,False,
Monza,Oscar Piastri,00:01:21.2900000,McLaren,False,
Monza,Lando Norris,00:01:21.4920000,McLaren,False,
Monza,Charles Leclerc,00:01:21.5350000,Ferrari,False,
Monza,Andrea Kimi Antonelli,00:01:21.5450000,Mercedes-AMG Petronas,False,
Monza,,00:01:21.9860000,World Car,False,
Monza,Gabriel Bortoleto,00:01:22.0140000,Kick Sauber,False,
Monza,George Russell,00:01:22.2450000,Mercedes-AMG Petronas,False,
Monza,SzPi1946,00:01:22.2790000,Alpine,False,
Monza,BjornBartomeu,00:01:22.3410000,Williams,False,
Monza,Liam Lawson,00:01:22.3710000,Red Bull,False,
Monza,Fernando Alonso,00:01:22.3990000,Aston Martin,False,
Monza,Carlos Sainz,00:01:22.5340000,Williams,False,
Monza,Nico Hulkenberg,00:01:22.5870000,Kick Sauber,False,
Monza,Oliver Bearman,00:01:22.6710000,Haas,False,
Monza,Yuki Tsunoda,00:01:22.8480000,Visa Cash App RB,False,
Monza,Z1Z_PL,00:01:24.5890000,Haas,False,
Monza,piotrek_player,00:00:00,McLaren,False,
Monza,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
