TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Monaco,Erzkoy,00:01:21.9520000,Red Bull,False,
Monaco,piotrek_player,00:01:24.1680000,McLaren,False,
Monaco,e1pege,00:01:24.9660000,RB,False,
Monaco,Lewis Hamilton,00:01:25.8050000,Ferrari,False,
Monaco,FenomenalnyKorcz,00:01:25.8400000,Ferrari,False,
Monaco,,00:01:25.8800000,World Car,False,
Monaco,marselantuan,00:01:25.9850000,Aston Martin,False,
Monaco,Gabriel Bortoleto,00:01:26.0260000,Kick Sauber,False,
Monaco,Carlos Sainz,00:01:26.2650000,Williams,False,
Monaco,Lando Norris,00:01:26.3380000,McLaren,False,
Monaco,Fernando Alonso,00:01:26.5990000,Aston Martin,False,
Monaco,Nico Hulkenberg,00:01:26.8110000,Kick Sauber,False,
Monaco,Pierre Gasly,00:01:27.3170000,Alpine,False,
Monaco,Liam Lawson,00:01:27.3330000,Red Bull,False,
Monaco,Oliver Bearman,00:01:27.9430000,Haas,False,
Monaco,George Russell,00:01:27.9790000,Mercedes-AMG Petronas,False,
Monaco,Andrea Kimi Antonelli,00:01:28.2800000,Mercedes-AMG Petronas,False,
Monaco,Yuki Tsunoda,00:01:28.6320000,Visa Cash App RB,False,
Monaco,Z1Z_PL,00:01:30.3960000,Haas,False,
Monaco,BjornBartomeu,00:00:00,Williams,False,
Monaco,SzPi1946,00:00:00,Alpine,False,
Monaco,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
