TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Monaco,Erzkoy,00:01:10.5310000,Red Bull,False,
Monaco,piotrek_player,00:01:11.4740000,McLaren,False,
Monaco,e1pege,00:01:13.2220000,Ferrari,False,
Monaco,marselantuan,00:01:14.7020000,Red Bull,False,
Monaco,Gabriel Bortoleto,00:01:14.9970000,Kick Sauber,False,
Monaco,Fernando Alonso,00:01:15.3270000,Aston Martin,False,
Monaco,Alex Albon,00:01:15.4050000,Williams,False,
Monaco,SzPi1946,00:01:15.4470000,Aston Martin,False,
Monaco,Nico Hulkenberg,00:01:15.7110000,Kick Sauber,False,
Monaco,,00:01:15.7350000,World Car,False,
Monaco,Lewis Hamilton,00:01:15.9280000,Ferrari,False,
Monaco,Andrea Kimi Antonelli,00:01:15.9870000,Mercedes-AMG Petronas,False,
Monaco,Yuki Tsunoda,00:01:15.9950000,Visa Cash App RB,False,
Monaco,Carlos Sainz,00:01:16.1080000,Williams,False,
Monaco,Pierre Gasly,00:01:16.4160000,Alpine,False,
Monaco,BjornBartomeu,00:01:16.4440000,Haas,False,
Monaco,Liam Lawson,00:01:16.4550000,Red Bull,False,
Monaco,Lando Norris,00:01:16.6150000,McLaren,False,
Monaco,Isack Hadjar,00:01:17.0340000,Visa Cash App RB,False,
Monaco,Oliver Bearman,00:01:17.2420000,Haas,False,
Monaco,F1 Player,00:00:00,Ferrari,False,
Monaco,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
