TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Austria,piotrek_player,00:01:05.8240000,McLaren,False,
Austria,marselantuan,00:01:06.1470000,Red Bull,False,
Austria,e1pege,00:01:06.6000000,Ferrari,False,
Austria,Andrea Kimi Antonelli,00:01:07.4490000,Mercedes-AMG Petronas,False,
Austria,Gabriel Bortoleto,00:01:07.8670000,Kick Sauber,False,
Austria,BjornBartomeu,00:01:07.8810000,Haas,False,
Austria,Pierre Gasly,00:01:07.8960000,Alpine,False,
Austria,,00:01:08.1890000,World Car,False,
Austria,Alex Albon,00:01:08.6280000,Williams,False,
Austria,Liam Lawson,00:01:08.6580000,Red Bull,False,
Austria,Fernando Alonso,00:01:08.7270000,Aston Martin,False,
Austria,Nico Hulkenberg,00:01:08.9470000,Kick Sauber,False,
Austria,Carlos Sainz,00:01:08.9890000,Williams,False,
Austria,Lando Norris,00:01:09.0270000,McLaren,False,
Austria,Lance Stroll,00:01:09.0730000,Aston Martin,False,
Austria,Yuki Tsunoda,00:01:09.1930000,Visa Cash App RB,False,
Austria,Oliver Bearman,00:01:09.3060000,Haas,False,
Austria,Isack Hadjar,00:01:09.3130000,Visa Cash App RB,False,
Austria,Lewis Hamilton,00:01:09.4260000,Ferrari,False,
Austria,Erzkoy,00:00:00,Red Bull,False,
Austria,F1 Player,00:00:00,Ferrari,False,
Austria,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
Austria,SzPi1946,00:00:00,Aston Martin,False,
