TrackName,Tier,PlayerName,Time,Points,Position,Penalty,FastestLap,HasFastestLap,ConstructorName,PenaltyPointsApplied,IsReserve,IsAi,
Netherlands,1,Erzkoy,00:31:18.7690000,25,1,0,00:01:12.8610000,False,Red Bull,0,False,False,
Netherlands,1,FenomenalnyKorcz,00:32:23.1220000,18,2,0,00:01:14.6080000,False,Ferrari,0,False,False,
Netherlands,1,e1pege,00:32:27.3810000,15,3,0,00:01:12.4790000,True,Visa Cash App RB,0,False,False,
Netherlands,1,Andrea Kimi Antonelli,00:32:28.2490000,12,4,0,00:01:15.7040000,False,Mercedes-AMG Petronas,0,False,True,
Netherlands,1,Gabriel Bortoleto,00:32:32.5010000,10,5,0,00:01:16.0350000,False,Kick Sauber,0,False,True,
Netherlands,1,piotrek_player,00:31:14.4920000,8,6,0,00:01:12.8730000,False,McLaren,0,False,False,
Netherlands,1,SzPi1946,00:31:27.3590000,6,7,0,00:01:14.9650000,False,Alpine,0,False,False,
Netherlands,1,Carlos Sainz,00:31:38.1840000,4,8,0,00:01:15.8750000,False,Williams,0,False,True,
Netherlands,1,Lewis Hamilton,00:31:38.2730000,2,9,0,00:01:15.9440000,False,Ferrari,0,False,True,
Netherlands,1,Fernando Alonso,00:31:41.9300000,1,10,0,00:01:15.9540000,False,Aston Martin,0,False,True,
Netherlands,1,Oliver Bearman,00:31:25.5460000,0,11,0,00:01:17.3700000,False,Haas,0,False,True,
Netherlands,1,George Russell,00:31:49.1240000,0,12,0,00:01:17.1780000,False,Mercedes-AMG Petronas,0,False,True,
Netherlands,1,Lando Norris,00:31:49.2780000,0,13,0,00:01:16.0280000,False,McLaren,0,False,True,
Netherlands,1,,00:31:51.6210000,0,14,0,00:01:16.5650000,False,World Car,0,False,True,
Netherlands,1,Liam Lawson,00:31:54.2700000,0,15,0,00:01:16.9370000,False,Red Bull,0,False,True,
Netherlands,1,Lance Stroll,00:32:03.5530000,0,16,0,00:01:16.4940000,False,Aston Martin,0,False,True,
Netherlands,1,Yuki Tsunoda,00:32:05.5340000,0,17,0,00:01:16.3380000,False,Visa Cash App RB,0,False,True,
Netherlands,1,BjornBartomeu,00:32:06.6230000,0,18,0,00:01:15.4040000,False,Williams,0,False,False,
Netherlands,1,Z1Z_PL,00:00:03,0,19,0,00:01:17.5340000,False,Haas,0,False,False,
Netherlands,1,Nico Hulkenberg,00:03:37.3080000,0,20,0,00:01:17.6520000,False,Kick Sauber,0,False,True,
Netherlands,1,marselantuan,00:00:00,0,21,0,00:00:00,False,Aston Martin,0,False,False,
Netherlands,1,F1 Player,00:00:00,0,22,0,00:00:00,False,Mercedes-AMG Petronas,0,False,False,
