TrackName,Tier,PlayerName,Time,Points,Position,Penalty,FastestLap,HasFastestLap,ConstructorName,PenaltyPointsApplied,IsReserve,IsAi,
Abu Dhabi,1,Erzkoy,00:29:57.0050000,25,1,0,00:01:27.0040000,True,Red Bull,0,False,False,
Abu Dhabi,1,piotrek_player,00:30:17.5840000,18,2,0,00:01:27.7900000,False,McLaren,0,False,False,
Abu Dhabi,1,e1pege,00:30:37.3820000,15,3,0,00:01:28.2810000,False,Visa Cash App RB,0,False,False,
Abu Dhabi,1,marselantuan,00:30:52.4260000,12,4,0,00:01:29.2470000,False,Aston Martin,0,False,False,
Abu Dhabi,1,Gabriel Bortoleto,00:30:59.4540000,10,5,0,00:01:30.3230000,False,Kick Sauber,0,False,True,
Abu Dhabi,1,Carlos Sainz,00:31:05.6560000,8,6,0,00:01:30.9750000,False,Williams,0,False,True,
Abu Dhabi,1,BjornBartomeu,00:31:11.8110000,6,7,0,00:01:30.2560000,False,Williams,0,False,False,
Abu Dhabi,1,Andrea Kimi Antonelli,00:31:16.4230000,4,8,0,00:01:30.4370000,False,Mercedes-AMG Petronas,0,False,True,
Abu Dhabi,1,Lewis Hamilton,00:31:17.0580000,2,9,0,00:01:30.2060000,False,Ferrari,0,False,True,
Abu Dhabi,1,Fernando Alonso,00:31:19.8270000,1,10,0,00:01:31.0370000,False,Aston Martin,0,False,True,
Abu Dhabi,1,Oliver Bearman,00:30:08.2550000,0,11,0,00:01:32.3450000,False,Haas,0,False,True,
Abu Dhabi,1,FenomenalnyKorcz,00:30:23.1520000,0,12,0,00:01:31.1780000,False,Ferrari,0,False,False,
Abu Dhabi,1,Esteban Ocon,00:30:31.4320000,0,13,0,00:01:31.8910000,False,Haas,0,False,True,
Abu Dhabi,1,Liam Lawson,00:31:22.5820000,0,14,0,00:01:31.3250000,False,Red Bull,0,False,True,
Abu Dhabi,1,Lando Norris,00:31:22.9190000,0,15,0,00:01:31.2200000,False,McLaren,0,False,True,
Abu Dhabi,1,Nico Hulkenberg,00:31:26.1510000,0,16,0,00:01:31.3660000,False,Kick Sauber,0,False,True,
Abu Dhabi,1,Yuki Tsunoda,00:31:26.2620000,0,17,0,00:01:31.3100000,False,Visa Cash App RB,0,False,True,
Abu Dhabi,1,George Russell,00:31:26.9030000,0,18,0,00:01:30.9960000,False,Mercedes-AMG Petronas,0,False,True,
Abu Dhabi,1,SzPi1946,00:14:42.2120000,0,19,0,00:01:29.7740000,False,Alpine,0,False,False,
Abu Dhabi,1,,00:26:57.4550000,0,20,0,00:01:30.7730000,False,World Car,0,False,True,
Abu Dhabi,1,F1 Player,00:00:00,0,21,0,00:00:00,False,Mercedes-AMG Petronas,0,False,False,
Abu Dhabi,1,Z1Z_PL,00:00:00,0,22,0,00:00:00,False,Haas,0,False,False,
