TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Texas,Erzkoy,00:01:33.5590000,Red Bull,False,
Texas,e1pege,00:01:34.9520000,Ferrari,False,
Texas,piotrek_player,00:01:35.1350000,McLaren,False,
Texas,marselantuan,00:01:36.6250000,Red Bull,False,
Texas,Lewis Hamilton,00:01:37.3850000,Ferrari,False,
Texas,Andrea Kimi Antonelli,00:01:37.4170000,Mercedes-AMG Petronas,False,
Texas,Nico Hulkenberg,00:01:37.4260000,Kick Sauber,False,
Texas,,00:01:37.5720000,World Car,False,
Texas,BjornBartomeu,00:01:37.6490000,Haas,False,
Texas,Gabriel Bortoleto,00:01:37.7170000,Kick Sauber,False,
Texas,Fernando Alonso,00:01:37.7810000,Aston Martin,False,
Texas,Alex Albon,00:01:37.8180000,Williams,False,
Texas,Yuki Tsunoda,00:01:37.9050000,Visa Cash App RB,False,
Texas,Lando Norris,00:01:38.0160000,McLaren,False,
Texas,Carlos Sainz,00:01:38.2580000,Williams,False,
Texas,Liam Lawson,00:01:38.4150000,Red Bull,False,
Texas,Isack Hadjar,00:01:38.4260000,Visa Cash App RB,False,
Texas,Pierre Gasly,00:01:38.8070000,Alpine,False,
Texas,Lance Stroll,00:01:38.8120000,Aston Martin,False,
Texas,Oliver Bearman,00:01:39.0710000,Haas,False,
Texas,F1 Player,00:00:00,Ferrari,False,
Texas,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
Texas,SzPi1946,00:00:00,Aston Martin,False,
